Today Date,Public IP Adress,Data Quota,Data Used,Data Left,FlexBytes Quota,FlexBytes Used,Month Days,Today Date,Days Left,Per day,Usage Percentage,Total Data,Total Data Used,Total Data Left
2019-03-24 23:53:21.634726,49.206.15.84,320,212,108,100,73,31,24,7,15,66.25,420,285,135
2019-03-25 20:52:12.174331,49.206.9.63,320,218,102,100,73,31,25,6,17,68.125,420,291,129
